police_report_number,jurisdiction,incident_summary,reported_offense,loss_amount_usd
PR-RIV-2024-1354,Riverdale Cyber Crime Unit,"[Riverdale Police Bureau] Victim lost $35,000 after being directed by an acquaintance to transfer Ethereum into a fake decentralized wallet app. Contact officer email: fraud.unit@riverdalepolice.gov.",Online Crypto Investment Scam,59540
PR-STA-2024-1355,Star City Cyber Crime Unit,"[Star City Police Bureau] Financial controller received a spoofed email from the CEO demanding an urgent wire payment of $54,000 to an offshore vendor. Contact officer email: fraud.unit@star citypolice.gov.",Corporate Email Compromise,40037
PR-CEN-2024-1356,Central City Cyber Crime Unit,[Central City Police Bureau] Victim reported that their Instagram and email accounts were hijacked via SIM swapping and used to solicit money from friends. Contact officer email: fraud.unit@central citypolice.gov.,Social Media Account Hijack,30903
PR-GOT-2024-1357,Gotham Cyber Crime Unit,"[Gotham Police Bureau] Local dental clinic reported an attack that encrypted all patient history files, demanding 2 Bitcoin in payment. Contact officer email: fraud.unit@gothampolice.gov.",Ransomware Hostage,68074
PR-CEN-2024-1358,Central City Cyber Crime Unit,[Central City Police Bureau] Victim reported that their Instagram and email accounts were hijacked via SIM swapping and used to solicit money from friends. Contact officer email: fraud.unit@central citypolice.gov.,Social Media Account Hijack,71743
PR-RIV-2024-1359,Riverdale Cyber Crime Unit,"[Riverdale Police Bureau] Financial controller received a spoofed email from the CEO demanding an urgent wire payment of $54,000 to an offshore vendor. Contact officer email: fraud.unit@riverdalepolice.gov.",Corporate Email Compromise,22768
PR-CEN-2024-1360,Central City Cyber Crime Unit,"[Central City Police Bureau] Financial controller received a spoofed email from the CEO demanding an urgent wire payment of $54,000 to an offshore vendor. Contact officer email: fraud.unit@central citypolice.gov.",Corporate Email Compromise,58709
PR-CEN-2024-1361,Central City Cyber Crime Unit,"[Central City Police Bureau] Victim lost $35,000 after being directed by an acquaintance to transfer Ethereum into a fake decentralized wallet app. Contact officer email: fraud.unit@central citypolice.gov.",Online Crypto Investment Scam,64854
PR-RIV-2024-1362,Riverdale Cyber Crime Unit,"[Riverdale Police Bureau] Victim lost $35,000 after being directed by an acquaintance to transfer Ethereum into a fake decentralized wallet app. Contact officer email: fraud.unit@riverdalepolice.gov.",Online Crypto Investment Scam,80623
PR-STA-2024-1363,Star City Cyber Crime Unit,[Star City Police Bureau] Victim reported that their Instagram and email accounts were hijacked via SIM swapping and used to solicit money from friends. Contact officer email: fraud.unit@star citypolice.gov.,Social Media Account Hijack,24070
PR-GOT-2024-1364,Gotham Cyber Crime Unit,[Gotham Police Bureau] District online learning management system was subjected to an amplification DDoS attack during final examinations. Contact officer email: fraud.unit@gothampolice.gov.,DDoS Attack on School Portal,13183
PR-CEN-2024-1365,Central City Cyber Crime Unit,"[Central City Police Bureau] Complainant discovered that their national ID was used to secure an online personal loan of $12,000 without their knowledge. Contact officer email: fraud.unit@central citypolice.gov.",Identity Theft / Bank Loan,65876
PR-CEN-2024-1366,Central City Cyber Crime Unit,[Central City Police Bureau] Victim reported that their Instagram and email accounts were hijacked via SIM swapping and used to solicit money from friends. Contact officer email: fraud.unit@central citypolice.gov.,Social Media Account Hijack,6154
PR-MET-2024-1367,Metropolis Cyber Crime Unit,[Metropolis Police Bureau] District online learning management system was subjected to an amplification DDoS attack during final examinations. Contact officer email: fraud.unit@metropolispolice.gov.,DDoS Attack on School Portal,53477
PR-CEN-2024-1368,Central City Cyber Crime Unit,"[Central City Police Bureau] Local dental clinic reported an attack that encrypted all patient history files, demanding 2 Bitcoin in payment. Contact officer email: fraud.unit@central citypolice.gov.",Ransomware Hostage,5031
PR-MET-2024-1369,Metropolis Cyber Crime Unit,"[Metropolis Police Bureau] Complainant discovered that their national ID was used to secure an online personal loan of $12,000 without their knowledge. Contact officer email: fraud.unit@metropolispolice.gov.",Identity Theft / Bank Loan,76402
PR-GOT-2024-1370,Gotham Cyber Crime Unit,"[Gotham Police Bureau] Victim lost $35,000 after being directed by an acquaintance to transfer Ethereum into a fake decentralized wallet app. Contact officer email: fraud.unit@gothampolice.gov.",Online Crypto Investment Scam,19985
PR-CEN-2024-1371,Central City Cyber Crime Unit,"[Central City Police Bureau] Financial controller received a spoofed email from the CEO demanding an urgent wire payment of $54,000 to an offshore vendor. Contact officer email: fraud.unit@central citypolice.gov.",Corporate Email Compromise,40300
PR-CEN-2024-1372,Central City Cyber Crime Unit,"[Central City Police Bureau] Financial controller received a spoofed email from the CEO demanding an urgent wire payment of $54,000 to an offshore vendor. Contact officer email: fraud.unit@central citypolice.gov.",Corporate Email Compromise,46200
PR-STA-2024-1373,Star City Cyber Crime Unit,"[Star City Police Bureau] Victim lost $35,000 after being directed by an acquaintance to transfer Ethereum into a fake decentralized wallet app. Contact officer email: fraud.unit@star citypolice.gov.",Online Crypto Investment Scam,81673
PR-RIV-2024-1374,Riverdale Cyber Crime Unit,"[Riverdale Police Bureau] Victim lost $35,000 after being directed by an acquaintance to transfer Ethereum into a fake decentralized wallet app. Contact officer email: fraud.unit@riverdalepolice.gov.",Online Crypto Investment Scam,57552
PR-MET-2024-1375,Metropolis Cyber Crime Unit,"[Metropolis Police Bureau] Financial controller received a spoofed email from the CEO demanding an urgent wire payment of $54,000 to an offshore vendor. Contact officer email: fraud.unit@metropolispolice.gov.",Corporate Email Compromise,52956
PR-GOT-2024-1376,Gotham Cyber Crime Unit,"[Gotham Police Bureau] Local dental clinic reported an attack that encrypted all patient history files, demanding 2 Bitcoin in payment. Contact officer email: fraud.unit@gothampolice.gov.",Ransomware Hostage,93940
PR-GOT-2024-1377,Gotham Cyber Crime Unit,[Gotham Police Bureau] Victim reported that their Instagram and email accounts were hijacked via SIM swapping and used to solicit money from friends. Contact officer email: fraud.unit@gothampolice.gov.,Social Media Account Hijack,84482
PR-STA-2024-1378,Star City Cyber Crime Unit,"[Star City Police Bureau] Victim lost $35,000 after being directed by an acquaintance to transfer Ethereum into a fake decentralized wallet app. Contact officer email: fraud.unit@star citypolice.gov.",Online Crypto Investment Scam,22938
PR-GOT-2024-1379,Gotham Cyber Crime Unit,"[Gotham Police Bureau] Local dental clinic reported an attack that encrypted all patient history files, demanding 2 Bitcoin in payment. Contact officer email: fraud.unit@gothampolice.gov.",Ransomware Hostage,71262
PR-GOT-2024-1380,Gotham Cyber Crime Unit,"[Gotham Police Bureau] Financial controller received a spoofed email from the CEO demanding an urgent wire payment of $54,000 to an offshore vendor. Contact officer email: fraud.unit@gothampolice.gov.",Corporate Email Compromise,35733
PR-GOT-2024-1381,Gotham Cyber Crime Unit,"[Gotham Police Bureau] Complainant discovered that their national ID was used to secure an online personal loan of $12,000 without their knowledge. Contact officer email: fraud.unit@gothampolice.gov.",Identity Theft / Bank Loan,23059
PR-GOT-2024-1382,Gotham Cyber Crime Unit,[Gotham Police Bureau] Victim reported that their Instagram and email accounts were hijacked via SIM swapping and used to solicit money from friends. Contact officer email: fraud.unit@gothampolice.gov.,Social Media Account Hijack,13363
PR-CEN-2024-1383,Central City Cyber Crime Unit,"[Central City Police Bureau] Complainant discovered that their national ID was used to secure an online personal loan of $12,000 without their knowledge. Contact officer email: fraud.unit@central citypolice.gov.",Identity Theft / Bank Loan,31781
PR-RIV-2024-1384,Riverdale Cyber Crime Unit,"[Riverdale Police Bureau] Complainant discovered that their national ID was used to secure an online personal loan of $12,000 without their knowledge. Contact officer email: fraud.unit@riverdalepolice.gov.",Identity Theft / Bank Loan,13406
PR-STA-2024-1385,Star City Cyber Crime Unit,"[Star City Police Bureau] Victim lost $35,000 after being directed by an acquaintance to transfer Ethereum into a fake decentralized wallet app. Contact officer email: fraud.unit@star citypolice.gov.",Online Crypto Investment Scam,44099
PR-RIV-2024-1386,Riverdale Cyber Crime Unit,"[Riverdale Police Bureau] Financial controller received a spoofed email from the CEO demanding an urgent wire payment of $54,000 to an offshore vendor. Contact officer email: fraud.unit@riverdalepolice.gov.",Corporate Email Compromise,55768
PR-CEN-2024-1387,Central City Cyber Crime Unit,[Central City Police Bureau] Victim reported that their Instagram and email accounts were hijacked via SIM swapping and used to solicit money from friends. Contact officer email: fraud.unit@central citypolice.gov.,Social Media Account Hijack,47903
PR-RIV-2024-1388,Riverdale Cyber Crime Unit,[Riverdale Police Bureau] Victim reported that their Instagram and email accounts were hijacked via SIM swapping and used to solicit money from friends. Contact officer email: fraud.unit@riverdalepolice.gov.,Social Media Account Hijack,2479
PR-STA-2024-1389,Star City Cyber Crime Unit,"[Star City Police Bureau] Local dental clinic reported an attack that encrypted all patient history files, demanding 2 Bitcoin in payment. Contact officer email: fraud.unit@star citypolice.gov.",Ransomware Hostage,33287
PR-MET-2024-1390,Metropolis Cyber Crime Unit,"[Metropolis Police Bureau] Victim lost $35,000 after being directed by an acquaintance to transfer Ethereum into a fake decentralized wallet app. Contact officer email: fraud.unit@metropolispolice.gov.",Online Crypto Investment Scam,13911
PR-CEN-2024-1391,Central City Cyber Crime Unit,[Central City Police Bureau] Victim reported that their Instagram and email accounts were hijacked via SIM swapping and used to solicit money from friends. Contact officer email: fraud.unit@central citypolice.gov.,Social Media Account Hijack,35821
PR-GOT-2024-1392,Gotham Cyber Crime Unit,"[Gotham Police Bureau] Local dental clinic reported an attack that encrypted all patient history files, demanding 2 Bitcoin in payment. Contact officer email: fraud.unit@gothampolice.gov.",Ransomware Hostage,45493
PR-GOT-2024-1393,Gotham Cyber Crime Unit,"[Gotham Police Bureau] Victim lost $35,000 after being directed by an acquaintance to transfer Ethereum into a fake decentralized wallet app. Contact officer email: fraud.unit@gothampolice.gov.",Online Crypto Investment Scam,19390
PR-RIV-2024-1394,Riverdale Cyber Crime Unit,"[Riverdale Police Bureau] Financial controller received a spoofed email from the CEO demanding an urgent wire payment of $54,000 to an offshore vendor. Contact officer email: fraud.unit@riverdalepolice.gov.",Corporate Email Compromise,11871
PR-CEN-2024-1395,Central City Cyber Crime Unit,[Central City Police Bureau] Victim reported that their Instagram and email accounts were hijacked via SIM swapping and used to solicit money from friends. Contact officer email: fraud.unit@central citypolice.gov.,Social Media Account Hijack,47682
PR-RIV-2024-1396,Riverdale Cyber Crime Unit,[Riverdale Police Bureau] Victim reported that their Instagram and email accounts were hijacked via SIM swapping and used to solicit money from friends. Contact officer email: fraud.unit@riverdalepolice.gov.,Social Media Account Hijack,16717
PR-GOT-2024-1397,Gotham Cyber Crime Unit,"[Gotham Police Bureau] Local dental clinic reported an attack that encrypted all patient history files, demanding 2 Bitcoin in payment. Contact officer email: fraud.unit@gothampolice.gov.",Ransomware Hostage,82147
PR-MET-2024-1398,Metropolis Cyber Crime Unit,"[Metropolis Police Bureau] Complainant discovered that their national ID was used to secure an online personal loan of $12,000 without their knowledge. Contact officer email: fraud.unit@metropolispolice.gov.",Identity Theft / Bank Loan,9807
PR-RIV-2024-1399,Riverdale Cyber Crime Unit,[Riverdale Police Bureau] Victim reported that their Instagram and email accounts were hijacked via SIM swapping and used to solicit money from friends. Contact officer email: fraud.unit@riverdalepolice.gov.,Social Media Account Hijack,53221
PR-STA-2024-1400,Star City Cyber Crime Unit,"[Star City Police Bureau] Financial controller received a spoofed email from the CEO demanding an urgent wire payment of $54,000 to an offshore vendor. Contact officer email: fraud.unit@star citypolice.gov.",Corporate Email Compromise,25939
PR-STA-2024-1401,Star City Cyber Crime Unit,[Star City Police Bureau] District online learning management system was subjected to an amplification DDoS attack during final examinations. Contact officer email: fraud.unit@star citypolice.gov.,DDoS Attack on School Portal,30892
PR-GOT-2024-1402,Gotham Cyber Crime Unit,[Gotham Police Bureau] District online learning management system was subjected to an amplification DDoS attack during final examinations. Contact officer email: fraud.unit@gothampolice.gov.,DDoS Attack on School Portal,22154
PR-MET-2024-1403,Metropolis Cyber Crime Unit,"[Metropolis Police Bureau] Complainant discovered that their national ID was used to secure an online personal loan of $12,000 without their knowledge. Contact officer email: fraud.unit@metropolispolice.gov.",Identity Theft / Bank Loan,98331
PR-MET-2024-1404,Metropolis Cyber Crime Unit,"[Metropolis Police Bureau] Local dental clinic reported an attack that encrypted all patient history files, demanding 2 Bitcoin in payment. Contact officer email: fraud.unit@metropolispolice.gov.",Ransomware Hostage,86078
PR-MET-2024-1405,Metropolis Cyber Crime Unit,[Metropolis Police Bureau] Victim reported that their Instagram and email accounts were hijacked via SIM swapping and used to solicit money from friends. Contact officer email: fraud.unit@metropolispolice.gov.,Social Media Account Hijack,76344
PR-STA-2024-1406,Star City Cyber Crime Unit,[Star City Police Bureau] District online learning management system was subjected to an amplification DDoS attack during final examinations. Contact officer email: fraud.unit@star citypolice.gov.,DDoS Attack on School Portal,10765
PR-GOT-2024-1407,Gotham Cyber Crime Unit,"[Gotham Police Bureau] Complainant discovered that their national ID was used to secure an online personal loan of $12,000 without their knowledge. Contact officer email: fraud.unit@gothampolice.gov.",Identity Theft / Bank Loan,12981
PR-RIV-2024-1408,Riverdale Cyber Crime Unit,"[Riverdale Police Bureau] Local dental clinic reported an attack that encrypted all patient history files, demanding 2 Bitcoin in payment. Contact officer email: fraud.unit@riverdalepolice.gov.",Ransomware Hostage,79732
PR-RIV-2024-1409,Riverdale Cyber Crime Unit,"[Riverdale Police Bureau] Complainant discovered that their national ID was used to secure an online personal loan of $12,000 without their knowledge. Contact officer email: fraud.unit@riverdalepolice.gov.",Identity Theft / Bank Loan,81828
PR-STA-2024-1410,Star City Cyber Crime Unit,"[Star City Police Bureau] Complainant discovered that their national ID was used to secure an online personal loan of $12,000 without their knowledge. Contact officer email: fraud.unit@star citypolice.gov.",Identity Theft / Bank Loan,44626
PR-MET-2024-1411,Metropolis Cyber Crime Unit,[Metropolis Police Bureau] District online learning management system was subjected to an amplification DDoS attack during final examinations. Contact officer email: fraud.unit@metropolispolice.gov.,DDoS Attack on School Portal,90804
PR-CEN-2024-1412,Central City Cyber Crime Unit,"[Central City Police Bureau] Local dental clinic reported an attack that encrypted all patient history files, demanding 2 Bitcoin in payment. Contact officer email: fraud.unit@central citypolice.gov.",Ransomware Hostage,75334
PR-MET-2024-1413,Metropolis Cyber Crime Unit,"[Metropolis Police Bureau] Local dental clinic reported an attack that encrypted all patient history files, demanding 2 Bitcoin in payment. Contact officer email: fraud.unit@metropolispolice.gov.",Ransomware Hostage,93764
PR-STA-2024-1414,Star City Cyber Crime Unit,"[Star City Police Bureau] Financial controller received a spoofed email from the CEO demanding an urgent wire payment of $54,000 to an offshore vendor. Contact officer email: fraud.unit@star citypolice.gov.",Corporate Email Compromise,35974
PR-GOT-2024-1415,Gotham Cyber Crime Unit,[Gotham Police Bureau] Victim reported that their Instagram and email accounts were hijacked via SIM swapping and used to solicit money from friends. Contact officer email: fraud.unit@gothampolice.gov.,Social Media Account Hijack,23926
PR-STA-2024-1416,Star City Cyber Crime Unit,[Star City Police Bureau] District online learning management system was subjected to an amplification DDoS attack during final examinations. Contact officer email: fraud.unit@star citypolice.gov.,DDoS Attack on School Portal,86684
PR-STA-2024-1417,Star City Cyber Crime Unit,"[Star City Police Bureau] Financial controller received a spoofed email from the CEO demanding an urgent wire payment of $54,000 to an offshore vendor. Contact officer email: fraud.unit@star citypolice.gov.",Corporate Email Compromise,74105
PR-RIV-2024-1418,Riverdale Cyber Crime Unit,"[Riverdale Police Bureau] Local dental clinic reported an attack that encrypted all patient history files, demanding 2 Bitcoin in payment. Contact officer email: fraud.unit@riverdalepolice.gov.",Ransomware Hostage,95962
PR-MET-2024-1419,Metropolis Cyber Crime Unit,[Metropolis Police Bureau] District online learning management system was subjected to an amplification DDoS attack during final examinations. Contact officer email: fraud.unit@metropolispolice.gov.,DDoS Attack on School Portal,24211
PR-STA-2024-1420,Star City Cyber Crime Unit,[Star City Police Bureau] Victim reported that their Instagram and email accounts were hijacked via SIM swapping and used to solicit money from friends. Contact officer email: fraud.unit@star citypolice.gov.,Social Media Account Hijack,60655
PR-STA-2024-1421,Star City Cyber Crime Unit,"[Star City Police Bureau] Victim lost $35,000 after being directed by an acquaintance to transfer Ethereum into a fake decentralized wallet app. Contact officer email: fraud.unit@star citypolice.gov.",Online Crypto Investment Scam,42136
PR-CEN-2024-1422,Central City Cyber Crime Unit,"[Central City Police Bureau] Victim lost $35,000 after being directed by an acquaintance to transfer Ethereum into a fake decentralized wallet app. Contact officer email: fraud.unit@central citypolice.gov.",Online Crypto Investment Scam,67385
PR-RIV-2024-1423,Riverdale Cyber Crime Unit,"[Riverdale Police Bureau] Victim lost $35,000 after being directed by an acquaintance to transfer Ethereum into a fake decentralized wallet app. Contact officer email: fraud.unit@riverdalepolice.gov.",Online Crypto Investment Scam,77019
PR-CEN-2024-1424,Central City Cyber Crime Unit,"[Central City Police Bureau] Victim lost $35,000 after being directed by an acquaintance to transfer Ethereum into a fake decentralized wallet app. Contact officer email: fraud.unit@central citypolice.gov.",Online Crypto Investment Scam,8308
PR-STA-2024-1425,Star City Cyber Crime Unit,[Star City Police Bureau] Victim reported that their Instagram and email accounts were hijacked via SIM swapping and used to solicit money from friends. Contact officer email: fraud.unit@star citypolice.gov.,Social Media Account Hijack,66557
PR-RIV-2024-1426,Riverdale Cyber Crime Unit,"[Riverdale Police Bureau] Local dental clinic reported an attack that encrypted all patient history files, demanding 2 Bitcoin in payment. Contact officer email: fraud.unit@riverdalepolice.gov.",Ransomware Hostage,88944
PR-GOT-2024-1427,Gotham Cyber Crime Unit,"[Gotham Police Bureau] Complainant discovered that their national ID was used to secure an online personal loan of $12,000 without their knowledge. Contact officer email: fraud.unit@gothampolice.gov.",Identity Theft / Bank Loan,53434
PR-STA-2024-1428,Star City Cyber Crime Unit,"[Star City Police Bureau] Complainant discovered that their national ID was used to secure an online personal loan of $12,000 without their knowledge. Contact officer email: fraud.unit@star citypolice.gov.",Identity Theft / Bank Loan,89218
PR-GOT-2024-1429,Gotham Cyber Crime Unit,"[Gotham Police Bureau] Financial controller received a spoofed email from the CEO demanding an urgent wire payment of $54,000 to an offshore vendor. Contact officer email: fraud.unit@gothampolice.gov.",Corporate Email Compromise,42443
PR-MET-2024-1430,Metropolis Cyber Crime Unit,"[Metropolis Police Bureau] Complainant discovered that their national ID was used to secure an online personal loan of $12,000 without their knowledge. Contact officer email: fraud.unit@metropolispolice.gov.",Identity Theft / Bank Loan,55962
PR-CEN-2024-1431,Central City Cyber Crime Unit,[Central City Police Bureau] Victim reported that their Instagram and email accounts were hijacked via SIM swapping and used to solicit money from friends. Contact officer email: fraud.unit@central citypolice.gov.,Social Media Account Hijack,73948
PR-STA-2024-1432,Star City Cyber Crime Unit,"[Star City Police Bureau] Financial controller received a spoofed email from the CEO demanding an urgent wire payment of $54,000 to an offshore vendor. Contact officer email: fraud.unit@star citypolice.gov.",Corporate Email Compromise,24304
PR-STA-2024-1433,Star City Cyber Crime Unit,"[Star City Police Bureau] Complainant discovered that their national ID was used to secure an online personal loan of $12,000 without their knowledge. Contact officer email: fraud.unit@star citypolice.gov.",Identity Theft / Bank Loan,86632
PR-GOT-2024-1434,Gotham Cyber Crime Unit,"[Gotham Police Bureau] Local dental clinic reported an attack that encrypted all patient history files, demanding 2 Bitcoin in payment. Contact officer email: fraud.unit@gothampolice.gov.",Ransomware Hostage,8211
PR-GOT-2024-1435,Gotham Cyber Crime Unit,"[Gotham Police Bureau] Complainant discovered that their national ID was used to secure an online personal loan of $12,000 without their knowledge. Contact officer email: fraud.unit@gothampolice.gov.",Identity Theft / Bank Loan,87574
PR-CEN-2024-1436,Central City Cyber Crime Unit,[Central City Police Bureau] District online learning management system was subjected to an amplification DDoS attack during final examinations. Contact officer email: fraud.unit@central citypolice.gov.,DDoS Attack on School Portal,85057
PR-RIV-2024-1437,Riverdale Cyber Crime Unit,[Riverdale Police Bureau] Victim reported that their Instagram and email accounts were hijacked via SIM swapping and used to solicit money from friends. Contact officer email: fraud.unit@riverdalepolice.gov.,Social Media Account Hijack,6031
PR-MET-2024-1438,Metropolis Cyber Crime Unit,"[Metropolis Police Bureau] Victim lost $35,000 after being directed by an acquaintance to transfer Ethereum into a fake decentralized wallet app. Contact officer email: fraud.unit@metropolispolice.gov.",Online Crypto Investment Scam,54951
PR-RIV-2024-1439,Riverdale Cyber Crime Unit,"[Riverdale Police Bureau] Victim lost $35,000 after being directed by an acquaintance to transfer Ethereum into a fake decentralized wallet app. Contact officer email: fraud.unit@riverdalepolice.gov.",Online Crypto Investment Scam,22609
PR-MET-2024-1440,Metropolis Cyber Crime Unit,"[Metropolis Police Bureau] Complainant discovered that their national ID was used to secure an online personal loan of $12,000 without their knowledge. Contact officer email: fraud.unit@metropolispolice.gov.",Identity Theft / Bank Loan,22032
PR-STA-2024-1441,Star City Cyber Crime Unit,"[Star City Police Bureau] Victim lost $35,000 after being directed by an acquaintance to transfer Ethereum into a fake decentralized wallet app. Contact officer email: fraud.unit@star citypolice.gov.",Online Crypto Investment Scam,29317
PR-CEN-2024-1442,Central City Cyber Crime Unit,[Central City Police Bureau] District online learning management system was subjected to an amplification DDoS attack during final examinations. Contact officer email: fraud.unit@central citypolice.gov.,DDoS Attack on School Portal,65608
PR-STA-2024-1443,Star City Cyber Crime Unit,"[Star City Police Bureau] Victim lost $35,000 after being directed by an acquaintance to transfer Ethereum into a fake decentralized wallet app. Contact officer email: fraud.unit@star citypolice.gov.",Online Crypto Investment Scam,77190
PR-STA-2024-1444,Star City Cyber Crime Unit,[Star City Police Bureau] Victim reported that their Instagram and email accounts were hijacked via SIM swapping and used to solicit money from friends. Contact officer email: fraud.unit@star citypolice.gov.,Social Media Account Hijack,41073
PR-GOT-2024-1445,Gotham Cyber Crime Unit,[Gotham Police Bureau] District online learning management system was subjected to an amplification DDoS attack during final examinations. Contact officer email: fraud.unit@gothampolice.gov.,DDoS Attack on School Portal,83016
PR-MET-2024-1446,Metropolis Cyber Crime Unit,"[Metropolis Police Bureau] Local dental clinic reported an attack that encrypted all patient history files, demanding 2 Bitcoin in payment. Contact officer email: fraud.unit@metropolispolice.gov.",Ransomware Hostage,3959
PR-STA-2024-1447,Star City Cyber Crime Unit,[Star City Police Bureau] Victim reported that their Instagram and email accounts were hijacked via SIM swapping and used to solicit money from friends. Contact officer email: fraud.unit@star citypolice.gov.,Social Media Account Hijack,88108
PR-RIV-2024-1448,Riverdale Cyber Crime Unit,"[Riverdale Police Bureau] Local dental clinic reported an attack that encrypted all patient history files, demanding 2 Bitcoin in payment. Contact officer email: fraud.unit@riverdalepolice.gov.",Ransomware Hostage,15665
PR-CEN-2024-1449,Central City Cyber Crime Unit,"[Central City Police Bureau] Local dental clinic reported an attack that encrypted all patient history files, demanding 2 Bitcoin in payment. Contact officer email: fraud.unit@central citypolice.gov.",Ransomware Hostage,22939
PR-STA-2024-1450,Star City Cyber Crime Unit,"[Star City Police Bureau] Victim lost $35,000 after being directed by an acquaintance to transfer Ethereum into a fake decentralized wallet app. Contact officer email: fraud.unit@star citypolice.gov.",Online Crypto Investment Scam,46234
PR-MET-2024-1451,Metropolis Cyber Crime Unit,"[Metropolis Police Bureau] Local dental clinic reported an attack that encrypted all patient history files, demanding 2 Bitcoin in payment. Contact officer email: fraud.unit@metropolispolice.gov.",Ransomware Hostage,62022
PR-GOT-2024-1452,Gotham Cyber Crime Unit,"[Gotham Police Bureau] Local dental clinic reported an attack that encrypted all patient history files, demanding 2 Bitcoin in payment. Contact officer email: fraud.unit@gothampolice.gov.",Ransomware Hostage,29105
PR-MET-2024-1453,Metropolis Cyber Crime Unit,"[Metropolis Police Bureau] Local dental clinic reported an attack that encrypted all patient history files, demanding 2 Bitcoin in payment. Contact officer email: fraud.unit@metropolispolice.gov.",Ransomware Hostage,40628
PR-RIV-2024-1454,Riverdale Cyber Crime Unit,"[Riverdale Police Bureau] Complainant discovered that their national ID was used to secure an online personal loan of $12,000 without their knowledge. Contact officer email: fraud.unit@riverdalepolice.gov.",Identity Theft / Bank Loan,14616
PR-GOT-2024-1455,Gotham Cyber Crime Unit,"[Gotham Police Bureau] Victim lost $35,000 after being directed by an acquaintance to transfer Ethereum into a fake decentralized wallet app. Contact officer email: fraud.unit@gothampolice.gov.",Online Crypto Investment Scam,31423
PR-STA-2024-1456,Star City Cyber Crime Unit,"[Star City Police Bureau] Complainant discovered that their national ID was used to secure an online personal loan of $12,000 without their knowledge. Contact officer email: fraud.unit@star citypolice.gov.",Identity Theft / Bank Loan,36412
PR-STA-2024-1457,Star City Cyber Crime Unit,"[Star City Police Bureau] Complainant discovered that their national ID was used to secure an online personal loan of $12,000 without their knowledge. Contact officer email: fraud.unit@star citypolice.gov.",Identity Theft / Bank Loan,21265
PR-GOT-2024-1458,Gotham Cyber Crime Unit,[Gotham Police Bureau] District online learning management system was subjected to an amplification DDoS attack during final examinations. Contact officer email: fraud.unit@gothampolice.gov.,DDoS Attack on School Portal,43830
PR-GOT-2024-1459,Gotham Cyber Crime Unit,[Gotham Police Bureau] Victim reported that their Instagram and email accounts were hijacked via SIM swapping and used to solicit money from friends. Contact officer email: fraud.unit@gothampolice.gov.,Social Media Account Hijack,78944
PR-GOT-2024-1460,Gotham Cyber Crime Unit,[Gotham Police Bureau] Victim reported that their Instagram and email accounts were hijacked via SIM swapping and used to solicit money from friends. Contact officer email: fraud.unit@gothampolice.gov.,Social Media Account Hijack,71204
PR-STA-2024-1461,Star City Cyber Crime Unit,"[Star City Police Bureau] Victim lost $35,000 after being directed by an acquaintance to transfer Ethereum into a fake decentralized wallet app. Contact officer email: fraud.unit@star citypolice.gov.",Online Crypto Investment Scam,52421
PR-MET-2024-1462,Metropolis Cyber Crime Unit,"[Metropolis Police Bureau] Victim lost $35,000 after being directed by an acquaintance to transfer Ethereum into a fake decentralized wallet app. Contact officer email: fraud.unit@metropolispolice.gov.",Online Crypto Investment Scam,24096
PR-STA-2024-1463,Star City Cyber Crime Unit,"[Star City Police Bureau] Local dental clinic reported an attack that encrypted all patient history files, demanding 2 Bitcoin in payment. Contact officer email: fraud.unit@star citypolice.gov.",Ransomware Hostage,42802
PR-GOT-2024-1464,Gotham Cyber Crime Unit,"[Gotham Police Bureau] Complainant discovered that their national ID was used to secure an online personal loan of $12,000 without their knowledge. Contact officer email: fraud.unit@gothampolice.gov.",Identity Theft / Bank Loan,66675
PR-MET-2024-1465,Metropolis Cyber Crime Unit,[Metropolis Police Bureau] Victim reported that their Instagram and email accounts were hijacked via SIM swapping and used to solicit money from friends. Contact officer email: fraud.unit@metropolispolice.gov.,Social Media Account Hijack,55724
PR-MET-2024-1466,Metropolis Cyber Crime Unit,"[Metropolis Police Bureau] Victim lost $35,000 after being directed by an acquaintance to transfer Ethereum into a fake decentralized wallet app. Contact officer email: fraud.unit@metropolispolice.gov.",Online Crypto Investment Scam,6792
PR-CEN-2024-1467,Central City Cyber Crime Unit,"[Central City Police Bureau] Victim lost $35,000 after being directed by an acquaintance to transfer Ethereum into a fake decentralized wallet app. Contact officer email: fraud.unit@central citypolice.gov.",Online Crypto Investment Scam,70737
PR-GOT-2024-1468,Gotham Cyber Crime Unit,"[Gotham Police Bureau] Victim lost $35,000 after being directed by an acquaintance to transfer Ethereum into a fake decentralized wallet app. Contact officer email: fraud.unit@gothampolice.gov.",Online Crypto Investment Scam,2911
PR-GOT-2024-1469,Gotham Cyber Crime Unit,"[Gotham Police Bureau] Financial controller received a spoofed email from the CEO demanding an urgent wire payment of $54,000 to an offshore vendor. Contact officer email: fraud.unit@gothampolice.gov.",Corporate Email Compromise,77663
PR-GOT-2024-1470,Gotham Cyber Crime Unit,[Gotham Police Bureau] Victim reported that their Instagram and email accounts were hijacked via SIM swapping and used to solicit money from friends. Contact officer email: fraud.unit@gothampolice.gov.,Social Media Account Hijack,39146
PR-STA-2024-1471,Star City Cyber Crime Unit,"[Star City Police Bureau] Local dental clinic reported an attack that encrypted all patient history files, demanding 2 Bitcoin in payment. Contact officer email: fraud.unit@star citypolice.gov.",Ransomware Hostage,5408
